"♪ Ilias's ears hear everything" -> "♪ Ilias's ears hear everything"
"♪" -> "♪"
"♪ the Ilias Beam" -> "♪ the Ilias Beam"
"メニュー" -> "menu"
"【ミカエラちゃん】" -> "【Michaela】"
"イリアス様……セリヤ福音書を読み終わりました。" -> "Ilius-sama ... I finished reading the Gospel of Seria."
"次の宿題は何ですか？" -> "What is your next homework?"
"【イリアス】" -> "【Iliad】"
"そうですね、次はこの本を読んでもらいましょう。" -> "Well, let's have this book read next."
"【ミカエラちゃん】" -> "【Michaela】"
"『裏切りは三文の損』『怒りを鎮める方法』『忠義のススメ』……" -> "\"Betrayal is a loss of three sentences\" \"How to quell anger\" \"Recommendation of Tadayoshi\" ..."
"なんです、この本……？" -> "What is this book ...?"
"【イリアス】" -> "【Iliad】"
"いえ、将来のために……" -> "No, for the future ..."
"メニュー" -> "menu"
"【ルシフィナちゃん】" -> "【Lucifina】"
"イリアス様～！　あそぼうよ～♪" -> "Mr. Iliad! Let's hang out! ♪"
"【イリアス】" -> "【Iliad】"
"遊ぶのも良いですが……" -> "It is good to play, but ...."
"姉のミカエラちゃんのように、お勉強もしなければいけませんよ。" -> "Like my older sister Mikaela, I have to study."
"【ルシフィナちゃん】" -> "【Lucifina】"
"……………………" -> "........................"
"【イリアス】" -> "【Iliad】"
"わ、分かりましたから……" -> "Well, okay ...."
"反乱は……反乱はいけません……" -> "The rebellion ... ... Do not revolt ... ..."
"メニュー" -> "menu"
"メニュー" -> "menu"
"【イリアス】" -> "【Iliad】"
"黒のアリス……！" -> "Black Alice ......!"
"勇者ハインリヒの心に入り込んだとて、無駄な事ですよ！" -> "It is useless to say that you have entered the heart of the brave Heinrich!"
"【イリアス】" -> "【Iliad】"
"ハインリヒは将来、あなたを討ち果たします！" -> "Heinrich will unleash you in the future!"
"これは未来の出来事として、確定しているのです！" -> "This has been finalized as a future event!"
"【アリストロメリア】" -> "【Aristo Romelia】"
"ならば、なぜ貴女は笑っていないのです……？" -> "So why are you not laughing ... ....?"
"ハインリヒが私を討つなら、貴女は余裕の笑みを見せているのでは？" -> "If Heinrich battles me, is not you showing a smile that you can afford?"
"【イリアス】" -> "【Iliad】"
"……………………" -> "........................"
"【アリストロメリア】" -> "【Aristo Romelia】"
"何か、都合の悪い事でもありましたか？" -> "Was there something wrong?"
"ハインリヒは、いったい何をしたのですか……？" -> "What on earth did Heinrich ...?"
"【イリアス】" -> "【Iliad】"
"黒のアリス……" -> "Black Alice ......"
"あなたの思い通りにはなりませんよ……！" -> "You will not get what you want ...!"
"メニュー" -> "menu"
"♪" -> "♪"
"メニュー" -> "menu"
"メニュー" -> "menu"
"【エンジェルズＡ】" -> "【Angels A】"
"イリアス様のために、尽くしましょう！" -> "Let's do it for Mr. Iliad!"
"【エンジェルズＢ】" -> "【Angels B】"
"我々が、御身をお守りいたします！" -> "We will protect yourself!"
"【イリアス】" -> "【Iliad】"
"それはいいのですが、名札をつけてもらえません？" -> "Although it is nice, can not you attach a name tag?"
"あなた達の顔、区別がつかないので……" -> "Because your face can not be distinguished ... ..."
"【エンジェルズＡ】" -> "【Angels A】"
"それは失礼、なんとか個性を出しましょうか……？" -> "Is it rude, shall I let out personality ...?"
"【エンジェルズＢ】" -> "【Angels B】"
"それでは私は、語尾にゲスをつけてみるのゲス。" -> "Well then, I'm going to give a guess at the end."
"【イリアス】" -> "【Iliad】"
"努力は認めますが……" -> "Efforts are accepted ... ..."
"うん、まあ……いいでしょう。" -> "Yeah, well ... it would be nice."
"メニュー" -> "menu"
"【トリニティ】" -> "【Trinity】"
"おお、溢れる緑～♪　澄み渡る空～♪" -> "Oh, overflowing green ~ ♪ Clear sky ~ ♪"
"【イリアス】" -> "【Iliad】"
"トリニティ……あなた達の歌声はいつ聞いても美しいですね。" -> "Trinity ...... Your singing voice is beautiful no matter when you listen."
"これからも、その歌で私の心を癒すのですよ。" -> "From now on, I will heal my heart with that song."
"【トリニティ】" -> "【Trinity】"
"はい、イリアス様。" -> "Yes, Mr. Iliad."
"お褒めにあずかり、誠に光栄です……" -> "I am honored to be praised ... ..."
"【イリアス】" -> "【Iliad】"
"でも、うたた寝している時の子守歌はやめて下さい。" -> "But please stop lullaby when you are sleeping."
"そのまま昇天してしまいそうになりますので……" -> "Because it will be ascending as it is ... ..."
"メニュー" -> "menu"
"【イリアス】" -> "【Iliad】"
"エデン、肩が凝りました……" -> "Eden, I feel stiff shoulders ......"
"【エデン】" -> "【Eden】"
"それではイリアス様、このエデンがさっそく揉みましょう！" -> "Well then, Ilius, let 's break this Eden at once!"
"【イリアス】" -> "【Iliad】"
"エデン、お腹が減りました……" -> "Eden, I am hungry ... ..."
"【エデン】" -> "【Eden】"
"このエデン、さっそくおにぎりと焼き魚を作りました！" -> "Eden, I made grilled rice balls and grilled fish immediately!"
"おにぎりの具は、城内で見かけたワカメです！" -> "Instrument of rice balls is a seaweed seaweed found in the castle!"
"【わかめ】" -> "【seaweed】"
"おいしいよ！" -> "delicious!"
"【エデン】" -> "【Eden】"
"このエデン、さっそくおにぎりと焼き魚を作りました！" -> "Eden, I made grilled rice balls and grilled fish immediately!"
"おにぎりの具は、昆布です！" -> "The ingredients of rice balls are kelp!"
"【イリアス】" -> "【Iliad】"
"エデン……魚の骨が喉に刺さりました……" -> "Eden ...... Fish bones stuck in my throat ......"
"【エデン】" -> "【Eden】"
"お下がり下さい、イリアス様！" -> "Please come down, Mr. Iliad!"
"このエデンが、神に牙を剥きし焼き魚を誅滅しましょう！" -> "Let this Eden stumble the gods and destroy grilled fish!"
"【イリアス】" -> "【Iliad】"
"エデン、本棚最上段の本を取って下さい。" -> "Eden, please take the book at the top of the bookshelf."
"背が届かないので……" -> "Because I can not reach my back ... ..."
"【エデン】" -> "【Eden】"
"このエデンが心を込めて音読しましょう！" -> "Let's read this album with this heart in mind!"
"さあ、私の膝の上におかけ下さい！" -> "Now, please sit on my knees!"
"【イリアス】" -> "【Iliad】"
"なんだか、エデンが親のように過保護になっていきます……" -> "Somehow, Eden will become overprotection like a parent ... ..."
"メニュー" -> "menu"
"メニュー" -> "menu"
"【イリアス】" -> "【Iliad】"
"ハインリヒ……" -> "Heinrich ..."
"悪を断つ心に曇りはありませんか？" -> "Is not it cloudy in my heart to cut off evil?"
"【ハインリヒ】" -> "【Heinrich】"
"はい、イリアス様。" -> "Yes, Mr. Iliad."
"この心に、いっさいの曇りはありません。" -> "There is no cloudiness in this heart."
"【イリアス】" -> "【Iliad】"
"いついかなる時も、正義のために戦い抜く事を誓いますか？" -> "When do you promise to fight for justice at any moment?"
"【ハインリヒ】" -> "【Heinrich】"
"はい、イリアス様。" -> "Yes, Mr. Iliad."
"この剣に誓って！" -> "Swear to this sword!"
"【イリアス】" -> "【Iliad】"
"気に入らない事があっても、暴れたりはしませんか？" -> "Even if you do not like it, will not you go on a rampage?"
"怒りのあまり、眠れないという事はありませんか？" -> "Is not it that you can not sleep too much with anger?"
"【ハインリヒ】" -> "【Heinrich】"
"何かあったのですか、イリアス様……？" -> "Did something happen, Mr. Iliad ...?"
"メニュー" -> "menu"
"メニュー" -> "menu"
"：" -> ":"
"メニュー" -> "menu"
"メニュー" -> "menu"
"メニュー" -> "menu"
"メニュー" -> "menu"
"メニュー" -> "menu"
"メニュー" -> "menu"
"：" -> ":"
"メニュー" -> "menu"
"メニュー" -> "menu"
"メニュー" -> "menu"
"メニュー" -> "menu"
"メニュー" -> "menu"
"メニュー" -> "menu"
"メニュー" -> "menu"
"：" -> ":"
"メニュー" -> "menu"
"メニュー" -> "menu"
"メニュー" -> "menu"
"メニュー" -> "menu"
"【ソフィア】" -> "【Sofia】"
"あなたは、ラミアの巫女ですか。" -> "Are you a Lamaia shrine maiden?"
"親近感が湧きますね……" -> "Familiarity will spring up ..."
"【魅月】" -> "【Tsukiyuki】"
"あなたも、神に仕える身なのですね……" -> "You are also the one who serves God ...."
"お互い、清く正しく生きましょう。" -> "Let's live each other cleanly and correctly."
"【ソフィア】" -> "【Sofia】"
"清く……" -> "Be pure"
"【魅月】" -> "【Tsukiyuki】"
"正しく……" -> "Correctly ......"
"【ソフィア】" -> "【Sofia】"
"……………………" -> "........................"
"【魅月】" -> "【Tsukiyuki】"
"……………………" -> "........................"
"メニュー" -> "menu"
"メニュー" -> "menu"
"メニュー" -> "menu"
"：" -> ":"
"メニュー" -> "menu"
"メニュー" -> "menu"
"【エデン】" -> "【Eden】"
"これを、イリアス様のために役立てるのです。" -> "This is useful for Iliads."
"【エデン】" -> "【Eden】"
"これを、イリアス様のために役立てるのです。" -> "This is useful for Iliads."
"【エデン】" -> "【Eden】"
"これを、イリアス様のために役立てるのです。" -> "This is useful for Iliads."
"【エデン】" -> "【Eden】"
"これを、イリアス様のために役立てるのです。" -> "This is useful for Iliads."
"【エデン】" -> "【Eden】"
"これを、イリアス様のために役立てるのです。" -> "This is useful for Iliads."
"【エデン】" -> "【Eden】"
"これを、イリアス様のために役立てるのです。" -> "This is useful for Iliads."
"【エデン】" -> "【Eden】"
"私の全ては、イリアス様のために……" -> "All of me, for Ilius-sama ......"
"いざ、参りましょう。" -> "Ok, let's go."
"メニュー" -> "menu"
"【イリアス】" -> "【Iliad】"
"エデン、肩が凝りました……" -> "Eden, I feel stiff shoulders ......"
"【エデン】" -> "【Eden】"
"それではイリアス様、このエデンがさっそく揉みましょう！" -> "Well then, Ilius, let 's break this Eden at once!"
"【イリアス】" -> "【Iliad】"
"エデン、お腹が減りました……" -> "Eden, I am hungry ... ..."
"【エデン】" -> "【Eden】"
"このエデン、さっそくおにぎりと焼き魚を作りました！" -> "Eden, I made grilled rice balls and grilled fish immediately!"
"おにぎりの具は、城内で見かけたワカメです！" -> "Instrument of rice balls is a seaweed seaweed found in the castle!"
"【わかめ】" -> "【seaweed】"
"おいしいよ！" -> "delicious!"
"【エデン】" -> "【Eden】"
"このエデン、さっそくおにぎりと焼き魚を作りました！" -> "Eden, I made grilled rice balls and grilled fish immediately!"
"おにぎりの具は、昆布です！" -> "The ingredients of rice balls are kelp!"
"【イリアス】" -> "【Iliad】"
"エデン……魚の骨が喉に刺さりました……" -> "Eden ...... Fish bones stuck in my throat ......"
"【エデン】" -> "【Eden】"
"お下がり下さい、イリアス様！" -> "Please come down, Mr. Iliad!"
