"明かり設定10320300" -> "Light setting 10320300"
"明かり設定1500200" -> "Light setting 1500200"
"明かり設定1500200" -> "Light setting 1500200"
"明かり設定6500200" -> "Light setting 6500200"
"明かり設定6500200" -> "Light setting 6500200"
"明かり設定5320100" -> "Light setting 5320100"
"明かり設定3300300" -> "Light setting 3300300"
"明かり設定3300300" -> "Light setting 3300300"
"明かり設定3300300" -> "Light setting 3300300"
"明かり設定3300300" -> "Light setting 3300300"
"明かり設定3300300" -> "Light setting 3300300"
"明かり設定3300300" -> "Light setting 3300300"
"明かり設定3300300" -> "Light setting 3300300"
"明かり設定3300300" -> "Light setting 3300300"
"明かり設定2160400" -> "Light setting 2160400"
