"サン・イリア" -> "Saint Ilia"
"【アリス】" -> "【Alice】"
"結局、城下町では大した情報はなかったな。" -> "After all, there was not much information in the castle town."
"仕方ない、サン・イリア王の情報網に期待するか……" -> "It can not be helped, I expect it from the information network of King Sun and Iria ... ..."
"【アリス】" -> "【Alice】"
"貴様の父に関して、何か記録があるかもしれん。" -> "There may be some record about your father."
"彼は、数十年前に名を馳せた勇者という話だからな。" -> "He is a story of a brave man who was named a few decades ago."
"【イリアス】" -> "【Iliad】"
"結局、城下町で大した情報は得られませんでしたね。" -> "After all, I could not get much information in the castle town."
"サン・イリア王の情報網に期待しましょう。" -> "Let's expect from the information network of King Saint Julia."
"【イリアス】" -> "【Iliad】"
"マルケルスに関して、記録が残っている可能性が高いです。" -> "Regarding Marquess, there is a high possibility that records remain."
"彼はれっきとした勇者なのですから……" -> "Because he is a former brave man ... ..."
"ルカは仲間を外に待たせ、一人で民家に入った……" -> "Luke kept his companion outside and entered a private house alone ... ..."
"扉は固く閉ざされている……" -> "The door is tightly closed ......"
"扉は固く閉ざされている……" -> "The door is tightly closed ......"
"扉は固く閉ざされている……" -> "The door is tightly closed ......"
"扉は固く閉ざされている……" -> "The door is tightly closed ......"
"扉は固く閉ざされている……" -> "The door is tightly closed ......"
"【神官】" -> "Shinto priest"
"おお、神よ……" -> "Oh, God ......"
"【サン・イリア王】" -> "【King of Saint Iria】"
"命に別状はないな……" -> "There is nothing wrong with life ..."
"すまないが、しばらく救護を待ってくれ。" -> "Sorry, but please wait for a while."
"【神官】" -> "Shinto priest"
"はい……どうか他の者達を……" -> "Yes ... please ... others ..."
"【アリス】" -> "【Alice】"
"サン・イリアを攻めているのは、人魚の大群か！" -> "Are you attacking Saint-Iria, a huge group of mermaids?"
"クィーンマーメイドめ、魔王の軍門に下ったな！" -> "Because it was Queen Mermaid, I went down to the demon 's army gate!"
"【イリアス】" -> "【Iliad】"
"サン・イリアを攻めているのは、人魚の大群ですね。" -> "It is a huge group of mermaids that is attacking San Yyria."
