"　　　　　　　　　　　　　 － Artists －" -> "- Artists -"
"　　　　　　　　　　　　　　　　D" -> "D"
"　　　　　　　　　　　　　　　　frfr" -> "Fr fr"
"　　　　　　　　　　　　　　　 kupala" -> "Kupala"
"　　　　　　　　　　　　　　 　masha" -> "Masha"
"　　　　　　　　　　　　　　　 UN" -> "UN"
"　　　　　　　　　　　　　　　 xelvy" -> "Xelvy"
"　　　　　　　　　　　　　　あかざわRED" -> "Akazazawa RED"
"　　　　　　　　　　　　　　　アレキシ" -> "Alexi"
"　　　　　　　　　　　　　　　いろどり" -> "Irodori"
"　　　　　　　　　　　　　　　 鰯の頭" -> "Sardine's head"
"　　　　　　　　　　　　　　　 海の山" -> "Mountain of the sea"
"　　　　　　　　　　　　　　　　えぺ" -> "Elephant"
"　　　　　　　　　　　　　　クール教信者" -> "Coolist"
"　　　　　　　　　　　　　 　　日下部" -> "Kusakabe"
"　　　　　　　　　　　　　　 健康クロス" -> "Health cloth"
"　　　　　　　　　　　　　 　しぃずぴぃ" -> "Shimpi"
"　　　　　　　　　　　　　　　　しき" -> "Morale"
"　　　　　　　　　　　　　　　 シルク" -> "Silk"
"　　　　　　　　　　　　　 　人外モドキ" -> "Human-made mood"
"　　　　　　　　　　　　　　　すがもん" -> "Summon"
"　　　　　　　　　　　　　　ステルス改行" -> "Stealth line feed"
"　　　　　　　　　　　　　 　　瀬戸内" -> "Setouchi"
"　　　　　　　　　　　　　　デルフィナス" -> "Delphinas"
"　　　　　　　　　　　　　　　とーます" -> "To arrive at"
"　　　　　　　　　　　　　　なぐるふぁる" -> "Frog"
"　　　　　　　　　　　 　　　ネコまんま" -> "Catsman"
"　　　　　　　　　　 　　　　　真喜屋" -> "Shinya"
"　　　　　　　　　　　　　　　雪村信二" -> "Shinji Yukimura"
"　　　　　　　　　　　　　　 磊磊ちかさ" -> "Lei Lei"
"　　　　　　　　　　　　 － Pixel Art －" -> "- Pixel Art -"
"　　　　　　　　　　 　　　　　mikecat" -> "Mikecat"
"　　　　　　　　　　　　　　　コトブキ" -> "Kotobuki"
"　　　　　　　　　　　　　　　 シルク" -> "Silk"
"　　　　　　　　　　　　　 － Background －" -> "- Background -"
"　　　　　　　　　　　　　　　　KOKO" -> "KOKO"
"　　　　　　　　　　 　　 キュキュキュのQ" -> "Q of Qukyu Q"
"　　　　　　　　　　　 　 ぐったりにゃんこ" -> "Nitori Nyanko"
"　　　　　　　　　　　　　　　誰そ彼亭" -> "Who is it?"
"　　　　　　　　　　　　　背景写真補完の会" -> "Background picture supplementation party"
"　　　　　　　　　　　－ Main Scripter －" -> "- Main Scripter -"
"　　　　　　　　　　　　　　　　トリス" -> "Tris"
"　　　　　　　　　　　　－ Scripts －" -> "- Scripts -"
"　　　　　　　　　　　　　　　CACAO SOFT" -> "CACAO SOFT"
"　　　　　　　　　　　　　　 DEICIDE ALMA" -> "DEICIDE ALMA"
"　　　　　　　　　　　　　　　TYPE74RX" -> "TYPE 74 RX"
"　　　　　　　　　　　　　　　WhiteFlute" -> "WhiteFlute"
"　　　　　　　　　　　　　　　　塵風" -> "Dusty wind"
"　　　　　　　　　　　　　　　ひきも記" -> "Dictionary"
"　　　　　　　　　　　－ Special Thanks －" -> "- Special Thanks -"
"　　　　　　　　　　　　　　　名無し蛙" -> "Nameless frog"
"　　　　　　　　　　　　　　　　KURE" -> "KURE"
"　　　　　　　　　　　　　　　 白の魔" -> "White demon"
"　　　　　　　　　　　　　　－ Voice －" -> "- Voice -"
"　　　　　　　　　　　　　　　彩瀬ゆり" -> "Yuri Ayase"
"　　　　　　　　　　　　　　 － Music －" -> "- Music -"
"　　　　　　　　　　　　　　　煉獄庭園" -> "Purgatory garden"
"　　　　　　　　　　　　　　　　KOU" -> "KOU"
"　　　　　　　　　　　　　　Pianos DauGe" -> "Pianos DauGe"
"　　　　　　　　　　　　 オーライフジャパン" -> "O Life Japan"
"　　　　　　　　　　　　　　　みゅうー" -> "Mu"
"　　　　　　　　　　　　　 零式マテリアル" -> "Zero type material"
"　　　　　　　　　　　　　　－ SFX －" -> "- SFX -"
"　　　　　　　　　　　　　　　kcy TETUO" -> "Kcy TETUO"
"　　　　　　　　　　　　　　　廻斬夢廊" -> "Cuttings"
"　　　　　　　　　　　　ザ・マッチメイカァズ" -> "The Matchmakers"
"　　　　　　　　　　　　 月に憑かれたピエロ" -> "Clown possessed by the moon"
"　　　　　　　　　　　　　　　 魔王魂" -> "Satan's spirit"
"　　　　　　　　　　　　　 － Icons －" -> "- Icons -"
"　　　　　　　　　　　　　　SunDrivePlus" -> "SunDrivePlus"
"　　　　　　　　　　　　　　 あぱぱぱん" -> "After all"
"　　　　　　　　　　　　　　 あひる小屋" -> "Duck house"
"　　　　　　　　　　　　　　　臼井の会" -> "Usui's Association"
"　　　　　　　　　　　　　　　　沙夢" -> "Saya"
"　　　　　　　　　　　　　　　化け猫屋" -> "A gamble shop"
"　　　　　　　　　　　　　　ひょうぶろぐ" -> "Hail"
"　　　　　　　　　　　　　　　　星潟" -> "Nagari"
"　　　　　　　　　　　　　－ Mapping －" -> "- Mapping -"
"　　　　　　　　　　　　　　　 sagaya" -> "Sagaya"
"　　　　　　　　　　　　　　 エクロウレ" -> "Eculere"
"　　　　　　　　　　　　　　　 わをん" -> "Waka"
"　　　　　　　　　　　　　　　 柊一元" -> "Hiiragi"
"　　　　　　　　　　　　　－ Map Data －" -> "- Map Data -"
"　　　　　　　　　　　　　 Auld Lang Syne" -> "Auld Lang Syne"
"　　　　　　　　　　　　　　　 REFMAP" -> "REFMAP"
"　　　　　　　　　　　　　tokkuriのまったり" -> "Chill of tokkuri"
"　　　　　　　　　　　　　　　Yukimichi" -> "Yukimichi"
"　　　　　　　　　　　　犬分補給が最優先だ！" -> "Dog supply is top priority!"
"　　　　　　　　　　　　　　　　黄風" -> "Yellow wind"
"　　　　　　　　　　　　　　こまっちゃん" -> "Tomari-chan"
"　　　　　　　　　　　　　 のんびりまったり" -> "A relaxing chill"
"　　　　　　　　　　　　　－ Effects －" -> "- Effects -"
"　　　　　　　　　　　　　　　　ken" -> "Ken"
"　　　　　　　　　　　　　　　ふりいど" -> "Pretty"
"　　　　　　　　　　　　　　　　owl" -> "Owl"
"　　　　　　　　　　　　　　　　piro" -> "Piro"
"　　　　　　　　　　　　　　SPIERAL WIND" -> "SPIERAL WIND"
"　　　　　　　　　　　　　　　臼井の会" -> "Usui's Association"
"　　　　　　　　　　　　　　　　団子" -> "Dumpling"
"　　　　　　　　　　　　　　　なまもの" -> "Nameless"
"　　　　　　　　　　　　　　　 白儚館" -> "Shirakkan"
"　　　　　　　　　　　　　　　 箱庭亭" -> "Hakodatei"
"　　　　　　　　　　　　　　　ぱおぴい" -> "Pappy"
"　　　　　　　　　　　　　　　 ファル" -> "Fal"
"　　　　　　　　　　　　　　 龍のｘｘｘ" -> "Dragon's xxx"
"　　　　　　　　　　　　 － Title Logo －" -> "- Title Logo -"
"　　　　　　　　　　　　　　　　丼丸" -> "Rice noodles"
"　　　　　　　　　　　　　 － Image Edits －" -> "- Image Edits -"
"　　　　　　　　　　　　　　　　藤本" -> "Fujimoto"
"　　　　　　　　　　　　 － Debugging －" -> "- Debugging -"
"　　　　　　　　　　　　　　　　AST" -> "AST"
"　　　　　　　　　　　　　　　 アルク" -> "Ark"
"　　　　　　　　　　　　　　　　黒霧" -> "Black fog"
"　　　　　　　　　　　　－ Playtesters －" -> "- Playtesters -"
"　　　　　　　　　　　　　　　　Frec" -> "Frec"
"　　　　　　　　　　　　　　 　鍛冶屋" -> "                blacksmith"
"　　　　　　　　　　　　　　　さばみそ" -> "Samba"
"　　　　　　　　　　　　　　　 座布団" -> "Cushion"
"　　　　　　　　　　　　　　 にこいんく" -> "Nationwide"
"　　　　　　　　　　　　　　　　白夜" -> "White night"
"　　　　　　　　　　　　　　　　もち" -> "Mochi"
"　　　　　　　　　　　　　 － Scenario －" -> "- Scenario -"
"　　　　　　　　　　　　　　　とろとろ" -> "Roughness"
"　　　　　　　　　　　　　　 － Created By －" -> "- Created By -"
"　　　　　　　　　　　　とろとろレジスタンス" -> "Roughness resistance"
"　　　　　　　　　　　　　 － イラスト －" -> "              - An illustration -"
"　　　　　　　　　　　　　　　　D" -> "D"
"　　　　　　　　　　　　　　　　frfr" -> "Fr fr"
"　　　　　　　　　　　　　　　 kupala" -> "Kupala"
"　　　　　　　　　　　　　　 　masha" -> "Masha"
"　　　　　　　　　　　　　　　 UN" -> "UN"
"　　　　　　　　　　　　　　　 xelvy" -> "Xelvy"
"　　　　　　　　　　　　　　あかざわRED" -> "Akazazawa RED"
"　　　　　　　　　　　　　　　アレキシ" -> "Alexi"
