"会話：アマゾネスエルフ" -> "Conversation: Amazoness Elf"
"情報" -> "information"
"質問" -> "A question"
"要求" -> "request"
"贈与" -> "Gift"
"情報" -> "information"
"【アマゾネスエルフ】" -> "【Amazones Elf】"
"さあ、行くよっ！" -> "Come on, go!"
"【アマゾネスエルフ】" -> "【Amazones Elf】"
"あんたの子種、我等の部族に振る舞ってもらうよ……" -> "You will act on our tribe, our tribe ... ..."
"【アマゾネスエルフ】" -> "【Amazones Elf】"
"侵入者は打ちのめすのが、私達の掟さ！" -> "It is our lawful commander to defeat the intruder!"
"【アマゾネスエルフ】" -> "【Amazones Elf】"
"私達は、普通のエルフとも異なる掟で生きている……" -> "We live with a different rule than ordinary elves ... ..."
"アマゾネスの掟は、絶対なのさ。" -> "The law of Amazones is absolute."
"【アマゾネスエルフ】" -> "【Amazones Elf】"
"優れた子種、搾り取らせてもらうよ！" -> "An excellent child, I will get squeezed!"
"【アマゾネスエルフ】" -> "【Amazones Elf】"
"最近無性に、人間を叩きのめしたい気分さ！" -> "Recently sexually, I feel like hitting humans!"
"【アマゾネスエルフ】" -> "【Amazones Elf】"
"エルフの里のエルフ姫は、引きこもりらしいよ。" -> "The elven princess of the elves is like retreat."
"まったく、困ったお姫様だね……" -> "That's a troubling princess at all ..."
"【アマゾネスエルフ】" -> "【Amazones Elf】"
"エルフの里とは、五年に一回の御前試合を行ってるのさ。" -> "Elephant village is doing a game before the fifth time in five years."
"サムライやくのいち、なかなかホネがあるねぇ……" -> "Samurai and Kuonochi, there are pretty horns ..."
"【アマゾネスエルフ】" -> "【Amazones Elf】"
"マンコの筋肉も、鍛え抜いてるよ……" -> "I also trained pussy muscles ... ..."
"あんたなんか、挿れた途端にイっちまうさ。" -> "Something like that, I will be careful as soon as I insert it."
"【アマゾネスエルフ】" -> "【Amazones Elf】"
"島の外まで、吹っ飛ばしてやるよ！" -> "I will blow them off the island!"
"質問" -> "A question"
"【アマゾネスエルフ】" -> "【Amazones Elf】"
"ここに何をしに来た？" -> "What did you come here for?"
"戦士として、あたし達に挑みに来たのかい……？" -> "Did you come to challenge us as a warrior ...?"
"挑みに来た" -> "I came to challenge."
"話し合いに来た" -> "I came to talk"
"セックスしに来た" -> "I came to have sex"
"挑みに来た" -> "I came to challenge."
"【アマゾネスエルフ】" -> "【Amazones Elf】"
"挑戦者か、いいねぇ……さあ、来な！" -> "It's a challenger, nice ... ... Come on!"
"話し合いに来た" -> "I came to talk"
"【アマゾネスエルフ】" -> "【Amazones Elf】"
"話し合い！？　ふざけてるのかい……？" -> "discussion! What? Are you playing around? ...?"
"セックスしに来た" -> "I came to have sex"
"【アマゾネスエルフ】" -> "【Amazones Elf】"
"なら、叩きのめして連れ帰らなきゃねぇ……" -> "Then, you have to knock down and take it back ..."
"喜びな、あんたの望みは嫌というほど叶えられるよ。" -> "With joy, your hope can be fulfilled to the disgusting."
"【アマゾネスエルフ】" -> "【Amazones Elf】"
"アマゾネス一族は、様々な武技を身につけているのさ。" -> "The Amazones family has acquired various martial arts."
"中でも、得意なのは……" -> "Among them, those who are good at ......"
"弓" -> "bow"
"棍棒" -> "club"
"セックス" -> "Sex"
"弓" -> "bow"
"【アマゾネスエルフ】" -> "【Amazones Elf】"
"そうさ、弓は得意だよ！" -> "That's right, the bow is good!"
"棍棒" -> "club"
"【アマゾネスエルフ】" -> "【Amazones Elf】"
"そうさ、棍も得意だよ！" -> "That's right, I am also good at clubs!"
"セックス" -> "Sex"
