"会話：レッドスライム" -> "Conversation: Red slime"
"情報" -> "information"
"質問" -> "A question"
"要求" -> "request"
"贈与" -> "Gift"
"情報" -> "information"
"【レッドスライム】" -> "【Red Slime】"
"グリーンスライムは、なんだか口が悪いの。" -> "Green slime is kind of bad."
"でも、結構仲が良いんだよ！" -> "But, they are quite close together!"
"【レッドスライム】" -> "【Red Slime】"
"ブルースライムとはウマが合わないな～。" -> "Horse does not match with blue slime."
"別に、仲が悪いわけじゃないんだけどね。" -> "Separately, we do not have bad relationships, either."
"【レッドスライム】" -> "【Red Slime】"
"パープルスライムは、いつも説教ばかり。" -> "Purple slime is always preaching."
"まあ、面倒かけてるのは分かってるんだけど……" -> "Well, I know I'm having trouble, but ...."
"【レッドスライム】" -> "【Red Slime】"
"ブロブ娘とは仲がいいの。" -> "I am on good terms with Blob girl."
"一緒に人間をオモチャにしたりね♪" -> "I will make humans into a toy together ♪"
"【レッドスライム】" -> "【Red Slime】"
"あははっ、溶かしちゃうよ～！" -> "Haha, I will melt it ~!"
"【レッドスライム】" -> "【Red Slime】"
"活発！　熱血！　いっくよ～！" -> "Vigorous! Hot blood! Overall!"
"【レッドスライム】" -> "【Red Slime】"
"あたしの体温、他のスライムより高めなの。" -> "My temperature is higher than other slime."
"だってレッドだもんね！" -> "Because it's Red!"
"【レッドスライム】" -> "【Red Slime】"
"あたしの性格って、スライムの中じゃ活発な方。" -> "My personality is active in slime."
"だから、ガンガンいくよ～！" -> "So, I will go crazy ~!"
"【レッドスライム】" -> "【Red Slime】"
"獲物を溶かそうとすると、パープルに怒られるのよね。" -> "Purple will get angry when you try to melt the prey."
"つまんな～い！" -> "I'm sorry!"
"【レッドスライム】" -> "【Red Slime】"
"水を汚す人間は、大嫌い！" -> "I hate people who dirty water!"
"溶かしちゃうんだからね！" -> "It melts!"
"質問" -> "A question"
"【レッドスライム】" -> "【Red Slime】"
"ねぇ、赤色ってどう思う……？" -> "Hey, what do you think of red ...?"
"情熱の赤" -> "Passion red"
"怒りの赤" -> "Red of anger"
"血の赤" -> "Blood red"
"情熱の赤" -> "Passion red"
"【レッドスライム】" -> "【Red Slime】"
"情熱的なのって、大好き！" -> "I love being passionate!"
"怒りの赤" -> "Red of anger"
"【レッドスライム】" -> "【Red Slime】"
"なんだか乱暴そうでイヤだな……" -> "It seems to be rather wild and unpleasant ..."
"血の赤" -> "Blood red"
"【レッドスライム】" -> "【Red Slime】"
"なんだか、最低……" -> "Somehow, the least ..."
"【レッドスライム】" -> "【Red Slime】"
"あたし、お風呂が大好きなの。" -> "I love to take a bath."
"あんたはお風呂、好き？" -> "You like a bath, do not you?"
"好き" -> "Like"
"嫌い" -> "Hate"
"一緒に入ろう" -> "Together"
"好き" -> "Like"
"【レッドスライム】" -> "【Red Slime】"
"そう、気が合うじゃない！" -> "Yes, you feel like minded!"
"嫌い" -> "Hate"
"【レッドスライム】" -> "【Red Slime】"
"それって、フケツじゃないのぉ……？" -> "Is not it a dandruff ...?"
"一緒に入ろう" -> "Together"
"【レッドスライム】" -> "【Red Slime】"
"あはっ、ドロドロになろうよ！" -> "Haha, let's become a muddy!"
"【レッドスライム】" -> "【Red Slime】"
"ねぇねぇ！　熱血キャラって、どう思う……？" -> "Hey! What do you think about hot-blood characters ...?"
"元気で良い" -> "I am fine and healthy."
"暑苦しい" -> "Hot"
"どうでもいい" -> "Does not matter"
"元気で良い" -> "I am fine and healthy."
"【レッドスライム】" -> "【Red Slime】"
