"会話：御菊蟲" -> "Conversation: Mikurigushi"
"情報" -> "information"
"質問" -> "A question"
"要求" -> "request"
"贈与" -> "Gift"
"情報" -> "information"
"【御菊蟲】" -> "【Mikuryi】"
"はっぱ、いっぱいたべるよー♪" -> "On the other hand, I will eat lots of ♪"
"【御菊蟲】" -> "【Mikuryi】"
"プランセクト村に、イモムシ友達がいるんだよ。" -> "There is a caterpillar in a plan Sect village."
"でも、今は戦争で大変なの……" -> "But now it's hard for war ... ..."
"【御菊蟲】" -> "【Mikuryi】"
"あたし、家事は得意なんだよ♪" -> "I am good at domestic affairs ♪"
"イモムシだけど、器用なんだから♪" -> "It's caterpillar, but it's dexterous ♪"
"【御菊蟲】" -> "【Mikuryi】"
"はっぱ、もしゃもしゃ……" -> "Happy, I miss you ...."
"【御菊蟲】" -> "【Mikuryi】"
"足がいっぱい……うらやましいでしょ？" -> "Lots of legs ... ... I'm so jealous, do not you?"
"【御菊蟲】" -> "【Mikuryi】"
"糸も吐けるし、髪も伸びるよ♪" -> "I can breathe yarns and my hair grows ♪"
"あたし、イモムシの妖怪だもんね♪" -> "I am a monster of caterpillar ♪"
"【御菊蟲】" -> "【Mikuryi】"
"あたしの足って、何本あるのかな……？" -> "How many feet are there on my feet ...?"
"【御菊蟲】" -> "【Mikuryi】"
"わさわさわさ……" -> "Obviously ......"
"【御菊蟲】" -> "【Mikuryi】"
"アゲハおねえちゃんと遊ぼおっと♪" -> "Agehae playing with a sneaker ♪"
"【御菊蟲】" -> "【Mikuryi】"
"ちゃんと、みかんの皮まで食べてる？" -> "Are you eating until the orange peel?"
"えっ？　それが普通だよね……？" -> "eh? That is normal, is not it?"
"質問" -> "A question"
"【御菊蟲】" -> "【Mikuryi】"
"みかんとりんご、どっちが好き……？" -> "Which one do you like, mandarin oranges ...?"
"みかん" -> "Mandarin orange"
"りんご" -> "Apple"
"果物は嫌い" -> "I do not like fruits."
"みかん" -> "Mandarin orange"
"【御菊蟲】" -> "【Mikuryi】"
"わ～い、おんなじだぁ♪" -> "Wow, that's it!"
"りんご" -> "Apple"
"【御菊蟲】" -> "【Mikuryi】"
"そうなの？" -> "Is that so?"
"あたし、みかんの方が好き……" -> "I like the mandarin oranges ......"
"果物は嫌い" -> "I do not like fruits."
"【御菊蟲】" -> "【Mikuryi】"
"そうなんだ……しょんぼり。" -> "I see ... it's confusing."
"【御菊蟲】" -> "【Mikuryi】"
"昨日、流れ星を見たよ。" -> "I saw a shooting star yesterday."
"キミだったら、どんな願い事するの？" -> "If you were you, what kind of wish do you wish for?"
"世界が平和になりますように" -> "May the world be peaceful"
"お金持ちになりますように" -> "I hope to be rich"
"御菊蟲と結婚できますように" -> "I hope to marry Mikurigoshi"
"世界が平和になりますように" -> "May the world be peaceful"
"【御菊蟲】" -> "【Mikuryi】"
"すごく大きなお願い事だね♪" -> "It's a huge request, ♪"
"お金持ちになりますように" -> "I hope to be rich"
"【御菊蟲】" -> "【Mikuryi】"
"お金持ちになれたら、うれしいよね……" -> "I'm glad if I get rich ......"
"御菊蟲と結婚できますように" -> "I hope to marry Mikurigoshi"
"【御菊蟲】" -> "【Mikuryi】"
"ひゃっ！　こ、困るよぉ……" -> "Chew! I am in trouble ..."
"【御菊蟲】" -> "【Mikuryi】"
"あたし、どんなチョウチョになるのかな……？" -> "I wonder what kind of butterfly will be ...?"
"きれいなチョウチョ" -> "Beautiful butterfly"
"大きなチョウチョ" -> "Big butterfly"
"実は蛾" -> "Actually, moth"
