"会話：河童" -> "Conversation: Kappa"
"情報" -> "information"
"質問" -> "A question"
"要求" -> "request"
"贈与" -> "Gift"
"情報" -> "information"
"【河童】" -> "【Kappa】"
"きゅうり大好き！" -> "I love cucumbers!"
"【河童】" -> "【Kappa】"
"男の子と、相撲するのが大好き！" -> "I love sumoing with boys!"
"負けた子にはねぇ、お尻の穴に指を突っ込んで……" -> "Hey, you put a finger in the hole of your ass ... ...."
"【河童】" -> "【Kappa】"
"雨が降ると、上機嫌♪" -> "When it rains, I am in good spirits ♪"
"あたまのお皿が、かっぱっぱー♪" -> "An asian dish, ipping ♪"
"【河童】" -> "【Kappa】"
"カッパは肉弾戦が得意だよっ！" -> "Kappa is good at melee fighting!"
"ボコボコにしちゃうぞー♪" -> "I will make it bogoko ♪ ♪"
"【河童】" -> "【Kappa】"
"かっぱっぱー♪　るんぱっぱ♪" -> "ぱ っ ぱ ー ♪ Rappi ♪ ♪"
"【河童】" -> "【Kappa】"
"河童は沼が大好きだよ！" -> "Kappa loves swamps!"
"ナメクジちゃんやカエルちゃんとも仲がいいの。" -> "I am on good terms with slugs and frogs."
"【河童】" -> "【Kappa】"
"じめじめ……" -> "Drunk ......"
"【河童】" -> "【Kappa】"
"……は好きだけど、性格はカラッカラだよー♪" -> "I like ...... but my character is pretty ♪"
"【河童】" -> "【Kappa】"
"河童はいたずら好きだけど、悪者じゃないよ。" -> "Kappa likes mischief, but he is not a bad guy."
"村のみんなとも、仲は良いんだから！　……たぶん。" -> "Everyone in the village has good relations! ……maybe."
"【河童】" -> "【Kappa】"
"あたし、とっても相撲強いんだからね。" -> "I am a very sumo wrestler."
"連戦連勝の秘訣は、自分より弱い相手としか戦わないこと！" -> "The secret of winning the battlefield is to fight only with weaker partners than you!"
"【河童】" -> "【Kappa】"
"ねぇ、何して遊ぶ？" -> "Hey, what do you play?"
"それとも、ケンカする方が好き？" -> "Or, do you like fighting?"
"質問" -> "A question"
"【河童】" -> "【Kappa】"
"かっぱっぱー！" -> "Kappa!"
"かっぱっぱー！" -> "Kappa!"
"こんにちは" -> "Hello"
"……………………" -> "........................"
"かっぱっぱー！" -> "Kappa!"
"【河童】" -> "【Kappa】"
"かっぱっぱー！" -> "Kappa!"
"こんにちは" -> "Hello"
"【河童】" -> "【Kappa】"
"こ、こんにちは……" -> "Hello ......"
"……………………" -> "........................"
"【河童】" -> "【Kappa】"
"ちゃんと挨拶しなきゃ、ダメなんだよっ！" -> "I have to say hello properly!"
"かっぱっぱー！" -> "Kappa!"
"【河童】" -> "【Kappa】"
"お尻に指、突っ込んじゃうぞー！" -> "I will thrust my fingers in the butt!"
"やめろー！" -> "Stop it!"
"お願いします" -> "Please"
"逆に指を突っ込んでやる" -> "I thrust my finger in reverse"
"やめろー！" -> "Stop it!"
"【河童】" -> "【Kappa】"
"えへへっ、やめないからねー♪" -> "Well, I will not quit, ♪"
"お願いします" -> "Please"
"【河童】" -> "【Kappa】"
"えっ？　ひょっとして、ヘンタイ……？" -> "eh? Possibly, hentai ... ...?"
"逆に指を突っ込んでやる" -> "I thrust my finger in reverse"
"【河童】" -> "【Kappa】"
"なら、勝負だよっ！" -> "Then, it is a match!"
"【河童】" -> "【Kappa】"
"ねぇ、あたしと相撲しようよ！" -> "Hey, let's sumo with me!"
"する" -> "To"
"しない" -> "do not do"
"また今度" -> "next time"
"する" -> "To"
"【河童】" -> "【Kappa】"
"それじゃあ、いっくよー♪" -> "Well then, a long time ago ♪"
"しない" -> "do not do"
