"会話：アリ娘" -> "Conversation: Ali girl"
"情報" -> "information"
"質問" -> "A question"
"要求" -> "request"
"贈与" -> "Gift"
"情報" -> "information"
"【アリ娘】" -> "【Ali Girl】"
"働ク……" -> "Working ......"
"【アリ娘】" -> "【Ali Girl】"
"女王様ノタメニ……" -> "Queen Notatani ......"
"【アリ娘】" -> "【Ali Girl】"
"砂糖、落チテナイカナ……" -> "Sugar, fall freshwater kana ..."
"【アリ娘】" -> "【Ali Girl】"
"蜂ヲ襲ッテ、ハチミツ奪ウ……" -> "Bee attack, honey hunting ... ..."
"【アリ娘】" -> "【Ali Girl】"
"勤勉ハ、美徳……" -> "Diligence ha, virtue ......"
"【アリ娘】" -> "【Ali Girl】"
"仕事ガ好キ～♪" -> "Working job aiki ~ ♪"
"【アリ娘】" -> "【Ali Girl】"
"蜂トハ、仲良シ！" -> "Bee Toa, good friend!"
"【アリ娘】" -> "【Ali Girl】"
"働キ蟻ハ、敵トモ戦ウ！" -> "Working ants, enemy Tomo war!"
"【アリ娘】" -> "【Ali Girl】"
"女王様ニ、甘イモノヲ持ッテイク！" -> "Mister Queen, sweet potatoes!"
"【アリ娘】" -> "【Ali Girl】"
"女王様、世界一エライ！" -> "Queen, the world's best!"
"質問" -> "A question"
"【アリ娘】" -> "【Ali Girl】"
"甘イモノ、大好キ……" -> "Sweet potatoes, big fish ... ..."
"オ前ハ、何ガ大好キ……？" -> "Ao Ha, what is the big favorite ... ....?"
"甘いもの" -> "Sweet stuff"
"辛いもの" -> "Spicy things"
"アリ娘" -> "Ali girl"
"甘いもの" -> "Sweet stuff"
"【アリ娘】" -> "【Ali Girl】"
"気ガ合ウ……" -> "Flawless guy ..."
"辛いもの" -> "Spicy things"
"【アリ娘】" -> "【Ali Girl】"
"気ガ合ワナイ……" -> "Mad cowgirl Wanai ..."
"アリ娘" -> "Ali girl"
"【アリ娘】" -> "【Ali Girl】"
"アリ、オイシクナイ……" -> "Ant, Oishikunai ......"
"【アリ娘】" -> "【Ali Girl】"
"働クノ、好キ……？" -> "Working Kuno, Konoi ... ...?"
"好き" -> "Like"
"嫌い" -> "Hate"
"人間、働クノ好キ……" -> "Human beings, Working Kuno Aiki ......"
"好き" -> "Like"
"【アリ娘】" -> "【Ali Girl】"
"勤勉ハ、美徳……" -> "Diligence ha, virtue ......"
"嫌い" -> "Hate"
"【アリ娘】" -> "【Ali Girl】"
"働ケ……" -> "Working key ..."
"人間、働クノ好キ……" -> "Human beings, Working Kuno Aiki ......"
"【アリ娘】" -> "【Ali Girl】"
"疲レテル、少シ休メ……" -> "Fatigueletel, little shit ... ..."
"働キ過ギ、ヨクナイ……" -> "Working abroad, yoknai ......"
"【アリ娘】" -> "【Ali Girl】"
"人間モ働ク、蟻モ働ク……" -> "Human mobility, ant potmobil ......"
"人間ト蟻、同ジ……？" -> "Human ants, same men ... ...?"
"同じ" -> "the same"
"違う！" -> "Wrong!"
"人がアリのようだ" -> "People are like ants"
"同じ" -> "the same"
"【アリ娘】" -> "【Ali Girl】"
"同ジ！　人間ト蟻、同ジ！" -> "Same person! Human ants, same man!"
"違う！" -> "Wrong!"
"【アリ娘】" -> "【Ali Girl】"
"働ケ……" -> "Working key ..."
"人がアリのようだ" -> "People are like ants"
"【アリ娘】" -> "【Ali Girl】"
"落チ着ケ！" -> "Catch up!"
"【アリ娘】" -> "【Ali Girl】"
"アリ娘ハ、三万匹イル……" -> "Ali girls hurt, thirty thousand animals ... ..."
