"会話：ウォーマー" -> "Conversation: Warmer"
"情報" -> "information"
"質問" -> "A question"
"要求" -> "request"
"贈与" -> "Gift"
"情報" -> "information"
"【ウォーマー】" -> "【Warmers】"
"体、ぬるぬる……" -> "Body, slimy ......"
"【ウォーマー】" -> "【Warmers】"
"ぬちゃぬちゃ……" -> "A clapper ..."
"【ウォーマー】" -> "【Warmers】"
"グールは、ともだち……" -> "Ghoul, friends ......"
"【ウォーマー】" -> "【Warmers】"
"おなか、へった……" -> "I'm hungry……"
"【ウォーマー】" -> "【Warmers】"
"でろでろでろ……" -> "Get down the top of the ... ..."
"【ウォーマー】" -> "【Warmers】"
"あぅぅぅぅ……" -> "Ahuuuu ..."
"【ウォーマー】" -> "【Warmers】"
"じめじめ……好き……" -> "Damn it .... I like ... ..."
"ナメクジ……好き……" -> "Slugs ...... I like ... ..."
"【ウォーマー】" -> "【Warmers】"
"肉、食べたい……" -> "I want to eat meat ......"
"【ウォーマー】" -> "【Warmers】"
"あめあめ、ふれふれ……" -> "Amelife, touching ......"
"【ウォーマー】" -> "【Warmers】"
"沼、大好き……" -> "Swamp, I love you ...."
"どくどくどく……" -> "Nerdy"
"質問" -> "A question"
"【ウォーマー】" -> "【Warmers】"
"お前、おなかへったら……" -> "If you get hungry ......"
"なに、食べる？" -> "What do you want to eat?"
"肉" -> "meat"
"野菜" -> "Vegetables"
"ゾンビ" -> "zombie"
"肉" -> "meat"
"【ウォーマー】" -> "【Warmers】"
"肉、おいしい……" -> "Meat, tasty ......"
"野菜" -> "Vegetables"
"【ウォーマー】" -> "【Warmers】"
"理解できない……" -> "can not understand……"
"ゾンビ" -> "zombie"
"【ウォーマー】" -> "【Warmers】"
"ゾンビは人間たべる……人間はゾンビたべる……" -> "Zombies eat human ... ... human eats zombies ..."
"ぐるぐる回る、ウロボロス……" -> "Spin round, uroboros ......"
"【ウォーマー】" -> "【Warmers】"
"おなか、へった……" -> "I'm hungry……"
"食べていい？" -> "Can I eat?"
"いいよ" -> "OK"
"ダメ" -> "No good"
"君も食べていい？" -> "Can I eat you too?"
"いいよ" -> "OK"
"【ウォーマー】" -> "【Warmers】"
"がじがじ……" -> "Scurvy"
"ダメ" -> "No good"
"【ウォーマー】" -> "【Warmers】"
"……………………" -> "........................"
"君も食べていい？" -> "Can I eat you too?"
"【ウォーマー】" -> "【Warmers】"
"じゃあ、右足あげる……" -> "Well, I give my right leg ......"
"頭、食べさせて……" -> "Head, let me eat ......"
"【ウォーマー】" -> "【Warmers】"
"あたし……生きてる……？" -> "I ... ... I'm alive ... ....?"
"生きてる" -> "alive"
"死んでる" -> "Dead"
"分からない" -> "I do not understand"
"生きてる" -> "alive"
"【ウォーマー】" -> "【Warmers】"
"生きてる……生きてる……♪" -> "I am alive ...... I'm alive ...... ♪"
"死んでる" -> "Dead"
"【ウォーマー】" -> "【Warmers】"
"…………！？" -> "............! What?"
"ショックを受けたようだ……" -> "It seems to have been shocked ..."
"分からない" -> "I do not understand"
"【ウォーマー】" -> "【Warmers】"
"生きてる？　死んでる？" -> "alive? Dead?"
"それが分からない……" -> "I do not know it ..."
"【ウォーマー】" -> "【Warmers】"
"グールは、ともだち……" -> "Ghoul, friends ......"
"お前、何がともだち……？" -> "You, what are your friends ...?"
"ウォーマー" -> "Warmer"
"グール" -> "Goole"
"愛と勇気" -> "Love and courage"
"ウォーマー" -> "Warmer"
"【ウォーマー】" -> "【Warmers】"
"それじゃあ、あたしも……" -> "Well then, me too ...."
