"巫女アラクネ" -> "Maiden Arakune"
"【Maya】" -> "[Maya]"
"【Luka】" -> "【Luka】"
"【Maya】" -> "[Maya]"
"♪" -> "♪"
"【Luka】" -> "【Luka】"
"【Maya】" -> "[Maya]"
"♪" -> "♪"
"♪" -> "♪"
"【Maya】" -> "[Maya]"
"♪" -> "♪"
"♪" -> "♪"
"【Luka】" -> "【Luka】"
"【Luka】" -> "【Luka】"
"【Luka】" -> "【Luka】"
"【Maya】" -> "[Maya]"
"♪" -> "♪"
"【Luka】" -> "【Luka】"
"【Maya】" -> "[Maya]"
"♪" -> "♪"
"【Maya】" -> "[Maya]"
"♪" -> "♪"
"【Luka】" -> "【Luka】"
"【Maya】" -> "[Maya]"
"【Maya】" -> "[Maya]"
"♪" -> "♪"
"【Luka】" -> "【Luka】"
"【Luka】" -> "【Luka】"
"【Maya】" -> "[Maya]"
"♪" -> "♪"
"【Luka】" -> "【Luka】"
"【Luka】" -> "【Luka】"
"【Maya】" -> "[Maya]"
"♪" -> "♪"
"【Luka】" -> "【Luka】"
"【Luka】" -> "【Luka】"
"【Maya】" -> "[Maya]"
"♪" -> "♪"
"【Luka】" -> "【Luka】"
"【Maya】" -> "[Maya]"
"♪" -> "♪"
"【Luka】" -> "【Luka】"
"【Maya】" -> "[Maya]"
"♪" -> "♪"
"♪" -> "♪"
"【Luka】" -> "【Luka】"
"【Luka】" -> "【Luka】"
"【Maya】" -> "[Maya]"
"【Luka】" -> "【Luka】"
"【Luka】" -> "【Luka】"
"【Maya】" -> "[Maya]"
"♪" -> "♪"
"♪" -> "♪"
"【Luka】" -> "【Luka】"
"【Maya】" -> "[Maya]"
"♪" -> "♪"
"【Luka】" -> "【Luka】"
"【Luka】" -> "【Luka】"
"【Maya】" -> "[Maya]"
"♪" -> "♪"
"【Luka】" -> "【Luka】"
"【Luka】" -> "【Luka】"
"【Maya】" -> "[Maya]"
"♪" -> "♪"
"【Maya】" -> "[Maya]"
"♪" -> "♪"
"【Luka】" -> "【Luka】"
