"会話：トリックフェアリー" -> "Conversation: Trick Fairy"
"情報" -> "information"
"質問" -> "A question"
"要求" -> "request"
"贈与" -> "Gift"
"情報" -> "information"
"【トリックフェアリー】" -> "【Trick Fairy】"
"いたずら大好き～♪" -> "Mischievous love ~ ♪"
"【トリックフェアリー】" -> "【Trick Fairy】"
"精霊の森に、遊びに行こうかな～？" -> "Shall we go to the spirit forest for fun?"
"【トリックフェアリー】" -> "【Trick Fairy】"
"人間なんて、嫌いだよ～！" -> "I do not like humans ~!"
"【トリックフェアリー】" -> "【Trick Fairy】"
"おちんちん、オモチャにしてあげる！" -> "Pencil, I'll give you a toy!"
"【トリックフェアリー】" -> "【Trick Fairy】"
"女王様、最近ちょっと怖いの……" -> "Queen, I'm a bit scared of lately ......"
"イライラしてるのかな？" -> "Are you frustrated?"
"【トリックフェアリー】" -> "【Trick Fairy】"
"あたし達、妖精の中では体が大きい方なんだよ♪" -> "In us, among the fairies my body is the big one ♪"
"【トリックフェアリー】" -> "【Trick Fairy】"
"エルフお姉ちゃんは、毎日大変そう……" -> "Elf older sister seems to be hard every day ..."
"妖精は、気楽でいいよね～♪" -> "Fairies are good at ease ♪ ~ ♪"
"【トリックフェアリー】" -> "【Trick Fairy】"
"カーバンクルお姉ちゃんも、よく遊んでくれるよ。" -> "Carbankl's older sister also plays well."
"でも魔法が跳ね返るから、魔法を使ったいたずらができないの……" -> "But since magic bounces back, I can not do mischief using magic ...."
"【トリックフェアリー】" -> "【Trick Fairy】"
"今日は巨人のお姉ちゃんと遊ぼうかな……？" -> "I wonder if I will play with the giant's older sister today ...?"
"鬼ごっこすると、森が潰れちゃうけど。" -> "Tag tremble, the forest will collapse."
"【トリックフェアリー】" -> "【Trick Fairy】"
"アルラウネお姉ちゃん達が、遊びに来なくなっちゃった……" -> "Arlaune's older sisters have stopped coming to play ......"
"あたし達のこと、嫌いになったのかな……？" -> "I wonder if you disliked us ... ....?"
"質問" -> "A question"
"【トリックフェアリー】" -> "【Trick Fairy】"
"今日は、どんなイタズラをしようかな～？" -> "What kind of prank should I do today?"
"物を隠す" -> "Hide things"
"背中にカエル" -> "Frog on your back"
"頭を大爆発" -> "A big explosion of my head"
"物を隠す" -> "Hide things"
"【トリックフェアリー】" -> "【Trick Fairy】"
"それもいいけど、ちょっとアグレッシブさに欠けるなぁ……" -> "It's fine, but it's a little aggressive ... ..."
"背中にカエル" -> "Frog on your back"
"【トリックフェアリー】" -> "【Trick Fairy】"
"やっぱり、それが一番楽しいよね～♪" -> "After all, that is the most fun ~ ♪"
"頭を大爆発" -> "A big explosion of my head"
"【トリックフェアリー】" -> "【Trick Fairy】"
"それじゃテロだよ……" -> "That's terrorism ..."
"【トリックフェアリー】" -> "【Trick Fairy】"
"キミ、野菜はちゃんと食べられる……？" -> "You can eat vegetables properly ... ....?"
"余裕" -> "margin"
"無理" -> "Impossible"
"むしろ僕は野菜だ" -> "Rather, I am a vegetable."
"余裕" -> "margin"
"【トリックフェアリー】" -> "【Trick Fairy】"
"わぁ、すご～い♪" -> "Wow, they are amazing ~ ♪"
"無理" -> "Impossible"
"【トリックフェアリー】" -> "【Trick Fairy】"
"やっぱり無理だよね～♪" -> "After all it is impossible right?"
"あたしも、無理！" -> "I can not do that!"
"むしろ僕は野菜だ" -> "Rather, I am a vegetable."
"【トリックフェアリー】" -> "【Trick Fairy】"
"えっ、そうなの……？" -> "Oh, is that so ...?"
"ご、ごめんね……" -> "I'm sorry, ..."
