"会話：アルラ・マッシュ" -> "Conversation: Arla Mash"
"情報" -> "information"
"質問" -> "A question"
"要求" -> "request"
"贈与" -> "Gift"
"情報" -> "information"
"【アルラ・マッシュ】" -> "【Arla · Mash】"
"アルラ・パラソルと、お散歩したい……" -> "I would like to take a walk with Arla umbrella ......"
"でも私、歩くの遅い……" -> "But I, late walking ...."
"【アルラ・マッシュ】" -> "【Arla · Mash】"
"きのこ、おいしいよ！" -> "Mushrooms, it's delicious!"
"【アルラ・マッシュ】" -> "【Arla · Mash】"
"平和な世界で、ひっそりと生えていたい……" -> "I want to grow quietly in a peaceful world ......"
"【アルラ・マッシュ】" -> "【Arla · Mash】"
"平和が大好き。" -> "I love peace."
"戦いはキライ……" -> "Killai fight ......"
"【アルラ・マッシュ】" -> "【Arla · Mash】"
"菌糸、もわもわ……" -> "Mycelium, mushrooms ..."
"【アルラ・マッシュ】" -> "【Arla · Mash】"
"苗床にしちゃうよ！" -> "I will make it a nursery!"
"【アルラ・マッシュ】" -> "【Arla · Mash】"
"エリンギ～！　エリンギ～！" -> "Ellinghi ~! Ellinghi ~!"
"【アルラ・マッシュ】" -> "【Arla · Mash】"
"おいしいきのこ！" -> "Delicious mushrooms!"
"【アルラ・マッシュ】" -> "【Arla · Mash】"
"ウケケケケケケ！" -> "Ukeke Kekekeke!"
"【アルラ・マッシュ】" -> "【Arla · Mash】"
"平和な世界……" -> "Peaceful world ......"
"それは、きのこだけの世界。" -> "That is the only world of mushrooms."
"質問" -> "A question"
"【アルラ・マッシュ】" -> "【Arla · Mash】"
"きのこ、食べる？" -> "Do you want to eat mushrooms?"
"あたしの体、食べちゃう……？" -> "My body, I will eat ... ....?"
"食べたりしない" -> "Do not eat"
"食べたい" -> "want to eat"
"僕の方が美味しい" -> "I am tasty"
"食べたりしない" -> "Do not eat"
"【アルラ・マッシュ】" -> "【Arla · Mash】"
"食べないの……？" -> "Are not you going to eat……?"
"きのこ、嫌い？" -> "Do you hate mushrooms?"
"食べたい" -> "want to eat"
"【アルラ・マッシュ】" -> "【Arla · Mash】"
"おいしいよ！" -> "delicious!"
"僕の方が美味しい" -> "I am tasty"
"【アルラ・マッシュ】" -> "【Arla · Mash】"
"きのこよりおいしい！？" -> "It is more delicious than mushrooms! What?"
"食べたい！" -> "want to eat!"
"【アルラ・マッシュ】" -> "【Arla · Mash】"
"きのこ、バンザーイ！" -> "Mushrooms, banzai!"
"イェーッ！" -> "Yeah!"
"にんげん、バンザーイ！" -> "Hanzen, Banzai!"
"……………………" -> "........................"
"イェーッ！" -> "Yeah!"
"【アルラ・マッシュ】" -> "【Arla · Mash】"
"きのこ、バンザーイ！" -> "Mushrooms, banzai!"
"にんげん、バンザーイ！" -> "Hanzen, Banzai!"
"【アルラ・マッシュ】" -> "【Arla · Mash】"
"イェーッ！" -> "Yeah!"
"……………………" -> "........................"
"【アルラ・マッシュ】" -> "【Arla · Mash】"
"……………………" -> "........................"
"【アルラ・マッシュ】" -> "【Arla · Mash】"
"きのことたけのこ、どっちが好き？" -> "Which do you like better, mushrooms and bamboo shoots?"
"きのこ" -> "mushroom"
"たけのこ" -> "bambooshoot"
"どっちも" -> "Which also"
"きのこ" -> "mushroom"
"【アルラ・マッシュ】" -> "【Arla · Mash】"
"きのこ、おいしいよ！" -> "Mushrooms, it's delicious!"
"たけのこ" -> "bambooshoot"
"【アルラ・マッシュ】" -> "【Arla · Mash】"
"クマに食われてしまえ……" -> "Please be eaten by a bear ......"
