"会話：ジェライラ" -> "Conversation: Jellyra"
"情報" -> "information"
"質問" -> "A question"
"要求" -> "request"
"贈与" -> "Gift"
"情報" -> "information"
"【ジェライラ】" -> "【Jeala】"
"私の奏でる音色、聞いてもらいましょう……" -> "Let me listen to the tone that I play ... ..."
"【ジェライラ】" -> "【Jeala】"
"私は何者なのでしょう……" -> "Who am I? ..."
"この戸惑いを歌にしましょう。" -> "Let 's make this confusion a song."
"【ジェライラ】" -> "【Jeala】"
"この体こそ、音楽の化身……" -> "This body is the incarnation of music ..."
"【ジェライラ】" -> "【Jeala】"
"第一種断界接触……" -> "Type I Cutting Contact ..."
"あなたを排除しなければいけないようですね。" -> "You seem to have to eliminate you, do not you?"
"【ジェライラ】" -> "【Jeala】"
"この弦は、触手のように伸ばす事もできます。" -> "This string can also be stretched like a tentacle."
"あなたの体を巻き取り、締め上げるのですよ……" -> "Take up your body and tighten it ... ..."
"【ジェライラ】" -> "【Jeala】"
"快楽の調べ……存分に楽しんでもらいましょう。" -> "Examination of pleasure ... Let 's enjoy it to its fullest."
"【ジェライラ】" -> "【Jeala】"
"侵入者は排除します……" -> "We will eliminate intruders ..."
"それこそが、私の使命なのです。" -> "That is my mission."
"【ジェライラ】" -> "【Jeala】"
"このような体になる前の記憶はありません。" -> "There is no memory before becoming such a body."
"ですが、この身に染み渡った旋律だけは……" -> "But, only this melodic melody ... ..."
"【ジェライラ】" -> "【Jeala】"
"琴以外の楽器も、色々と奏でることが出来ますよ……" -> "You can play musical instruments other than the koto in various ways ......"
"【ジェライラ】" -> "【Jeala】"
"レクイエムを奏でて差し上げましょう……" -> "Let me play the requiem ... ..."
"質問" -> "A question"
"【ジェライラ】" -> "【Jeala】"
"あなたには、音楽の心得はありますか……？" -> "Do you have the mind of music ...?"
"ある" -> "is there"
"ない" -> "Absent"
"僕自身が楽器だ" -> "I am a musical instrument myself"
"ある" -> "is there"
"【ジェライラ】" -> "【Jeala】"
"ならば、共に音を奏でましょう……" -> "Let's play sound together ...."
"快楽の調べを……" -> "Investigation of pleasure ......"
"ない" -> "Absent"
"【ジェライラ】" -> "【Jeala】"
"それは、無粋ですね……" -> "That's nothing ...."
"僕自身が楽器だ" -> "I am a musical instrument myself"
"【ジェライラ】" -> "【Jeala】"
"そうですか、私もです……" -> "I see, I am also ...."
"【ジェライラ】" -> "【Jeala】"
"私の存在目的は何なのでしょうか……" -> "What is the purpose of my existence ......"
"音楽を奏でること" -> "Playing music"
"侵入者の排除" -> "Elimination of intruders"
"男に快楽を与えること" -> "To give pleasure to a man"
"音楽を奏でること" -> "Playing music"
"【ジェライラ】" -> "【Jeala】"
"そうならば、なんと素晴らしいのでしょう……" -> "If so, how wonderful ... ...."
"侵入者の排除" -> "Elimination of intruders"
"【ジェライラ】" -> "【Jeala】"
"悲しい事です……" -> "It is a sad thing ......"
"男に快楽を与えること" -> "To give pleasure to a man"
"【ジェライラ】" -> "【Jeala】"
"それがお望みなのですか？" -> "Is that what you want?"
"ならば、存分に……" -> "Then, in full ... ..."
"【ジェライラ】" -> "【Jeala】"
"どのような情念を込めて、音楽を奏でましょうか……" -> "What kind of passion should you put on playing music ......"
"喜び" -> "joy"
"怒り" -> "anger"
"哀しみ" -> "sorrow"
"喜び" -> "joy"
"【ジェライラ】" -> "【Jeala】"
"ならば、歓喜の歌を奏でましょう……" -> "Let's play delightful songs ......"
"怒り" -> "anger"
"【ジェライラ】" -> "【Jeala】"
"あまり得意ではありません。" -> "I am not very good at it."
