"会話：ウィングハーピー" -> "Conversation: Winghapy"
"情報" -> "information"
"質問" -> "A question"
"要求" -> "request"
"贈与" -> "Gift"
"情報" -> "information"
"【ウィングハーピー】" -> "【Wing Hervey】"
"もっと高く……" -> "Higher ... ...."
"【ウィングハーピー】" -> "【Wing Hervey】"
"遠くへ行きたいわ……" -> "I want to go far away ......"
"【ウィングハーピー】" -> "【Wing Hervey】"
"眠いわね……" -> "I'm sleepy ..."
"……挑発じゃなく、本当に眠いのよ。" -> "...... It's not a provocation but I am really sleepy."
"【ウィングハーピー】" -> "【Wing Hervey】"
"また羽が汚れて……" -> "Also the wings are dirty ......"
"後で毛繕いしないと。" -> "I have to pat on them later."
"【ウィングハーピー】" -> "【Wing Hervey】"
"ナイトハーピーは、堅苦しいわね……" -> "Knight Harpy is stolen ... ..."
"ハーピーなのだから、もう少し気楽にやれないものかしら。" -> "Because it is a harpie, I wonder if I can do it more comfortably."
"【ウィングハーピー】" -> "【Wing Hervey】"
"踊りは好きよ、ハーピーだもの……" -> "I like dancing, what is harpy ... ..."
"【ウィングハーピー】" -> "【Wing Hervey】"
"毎日、眠って暮らしたいわ……" -> "I want to sleep and live everyday ...."
"【ウィングハーピー】" -> "【Wing Hervey】"
"お風呂に入りたいわ……" -> "I'd like to take a bath ..."
"【ウィングハーピー】" -> "【Wing Hervey】"
"別に、クールってわけじゃ……" -> "Separately, it is cool ..."
"……ないわよ。" -> "... ... not really."
"【ウィングハーピー】" -> "【Wing Hervey】"
"私の羽根、かなり丈夫よ。" -> "My feathers are pretty strong."
"ウィングハーピーだもの……" -> "Wing harpy things ......"
"質問" -> "A question"
"【ウィングハーピー】" -> "【Wing Hervey】"
"お風呂が好きなの……" -> "I like baths ......"
"あなたは、お風呂は好き？" -> "Do you like bathing?"
"好き" -> "Like"
"嫌い" -> "Hate"
"一緒に入りたい" -> "I want to join them."
"好き" -> "Like"
"【ウィングハーピー】" -> "【Wing Hervey】"
"そう……私もよ。" -> "Yes ... me too."
"嫌い" -> "Hate"
"【ウィングハーピー】" -> "【Wing Hervey】"
"汚くないわよね……？" -> "Is not it dirty?"
"あまり寄らないでくれない？" -> "Will not you come close to me?"
"一緒に入りたい" -> "I want to join them."
"【ウィングハーピー】" -> "【Wing Hervey】"
"いいわよ……私が勝った後でね。" -> "Okay ... after I won."
"【ウィングハーピー】" -> "【Wing Hervey】"
"私は、木の上で眠っているのだけど……" -> "I'm asleep on a tree ...."
"あなたは、どこで眠っているの？" -> "Where are you sleeping?"
"テント" -> "tent"
"ベッド" -> "bed"
"木の上" -> "On a tree"
"テント" -> "tent"
"【ウィングハーピー】" -> "【Wing Hervey】"
"たまには、良いかもしれないけど……" -> "Occasionally, it may be good, but ..."
"いつもテントは嫌よね。" -> "I do not want tents all the time."
"ベッド" -> "bed"
"【ウィングハーピー】" -> "【Wing Hervey】"
"そう、いいわね……" -> "That's right, right ...."
"私もベッドで寝てみたいわ。" -> "I want to sleep in bed too."
"木の上" -> "On a tree"
"【ウィングハーピー】" -> "【Wing Hervey】"
"あなた、人間でしょう……" -> "You, a human being ... ...."
"なぜ、そんな所で眠るの？" -> "Why are you sleeping in such a place?"
"【ウィングハーピー】" -> "【Wing Hervey】"
"あなたは、一日にどのくらい寝てるの……？" -> "How long have you been sleeping in a day ...?"
"八時間" -> "Eight hours"
"一日中寝ている" -> "I sleep all day."
"まったく寝ていない" -> "I have not slept at all"
"八時間" -> "Eight hours"
