"会話：カマキリ娘" -> "Conversation: Mantis girls"
"情報" -> "information"
"質問" -> "A question"
"要求" -> "request"
"贈与" -> "Gift"
"情報" -> "information"
"【カマキリ娘】" -> "【Mantis girl】"
"ギギギ……肉、食らう……" -> "Giggi ... ... meat, to eat ......"
"【カマキリ娘】" -> "【Mantis girl】"
"ギギ……交尾、する……" -> "Gigi ... ... mating, doing ... ..."
"【カマキリ娘】" -> "【Mantis girl】"
"ギギ……肉、好物……" -> "Gigi ...... meat, favorite ... ...."
"野菜、嫌い……" -> "I hate vegetables ......"
"【カマキリ娘】" -> "【Mantis girl】"
"この鎌、剣より切れる……" -> "This sickle, cuts off the sword ... ..."
"ギギギ……" -> "Giggi ..."
"【カマキリ娘】" -> "【Mantis girl】"
"鎌技、得意……" -> "Sickle technique, good ..."
"カマキリだからな、ギギ……" -> "You're a mantis, Gigi ......"
"【カマキリ娘】" -> "【Mantis girl】"
"同類でも、食らう……ギギ……" -> "Even like the same, eat ... Gigi ......"
"【カマキリ娘】" -> "【Mantis girl】"
"蝶のように……大空を飛びたい……" -> "Like butterflies ... I want to fly over the sky ......"
"ギギ……" -> "Giggi ..."
"【カマキリ娘】" -> "【Mantis girl】"
"ギギ……鎌は自前……" -> "Giggi ... ... the scythe is your own ... ..."
"【カマキリ娘】" -> "【Mantis girl】"
"虫、食べる……ギギ……" -> "Insects, eat ... ... Gigi ......"
"【カマキリ娘】" -> "【Mantis girl】"
"植物は刈る……ギギギ……" -> "Plants cut ... ... Giggi ... ..."
"質問" -> "A question"
"【カマキリ娘】" -> "【Mantis girl】"
"ギギ……交尾した後……" -> "Gigi ... ... After mating ......"
"食らってもいいか……？" -> "Can I take it ...?"
"交尾も捕食も断る" -> "I also refuse mating and predation"
"別にいいよ" -> "never mind"
"交尾だけさせて" -> "Let me mate alone"
"交尾はいいから食べて" -> "Mating is good so please eat"
"交尾も捕食も断る" -> "I also refuse mating and predation"
"【カマキリ娘】" -> "【Mantis girl】"
"ギギ……ギ……" -> "Gigi ... ... Gi ..."
"別にいいよ" -> "never mind"
"【カマキリ娘】" -> "【Mantis girl】"
"ギギ……早く交わる……" -> "Gigi ... ... to get up early ..."
"その後、食べる……" -> "Then, eat ......"
"交尾だけさせて" -> "Let me mate alone"
"【カマキリ娘】" -> "【Mantis girl】"
"ギギ……お前、虫がいいぞ……" -> "Gigi ... you, you have good bugs ......"
"交尾はいいから食べて" -> "Mating is good so please eat"
"【カマキリ娘】" -> "【Mantis girl】"
"ギギ、変態か……？" -> "Gigi, are you a pervert ...?"
"【カマキリ娘】" -> "【Mantis girl】"
"プランセクト村で、争い……" -> "In Plan Sakt village, fight ..."
"ギギ……お前、どっち味方する……？" -> "Gigi ... ... you, which side do you ...?"
"昆虫族" -> "Insect family"
"植物族" -> "Plant family"
"中立" -> "Neutral"
"昆虫族" -> "Insect family"
"【カマキリ娘】" -> "【Mantis girl】"
"ギギ……味方……仲間……" -> "Gigi ...... Ally ... ... Fellow ......"
"植物族" -> "Plant family"
"【カマキリ娘】" -> "【Mantis girl】"
"ギギ……ギ……" -> "Gigi ... ... Gi ..."
"中立" -> "Neutral"
"【カマキリ娘】" -> "【Mantis girl】"
"ギギ……中立、どっちからも敵……" -> "Gigi ...... neutral, enemy from either ... ..."
"【カマキリ娘】" -> "【Mantis girl】"
"ギギ……好きな色、何だ？" -> "Giggi ... what's your favorite color?"
"赤色" -> "red"
"青色" -> "Blue color"
"緑" -> "Green"
"赤色" -> "red"
