"会話：アンフィル" -> "Conversation: Amphill"
"情報" -> "information"
"質問" -> "A question"
"要求" -> "request"
"贈与" -> "Gift"
"情報" -> "information"
"【アンフィル】" -> "【Anfill】"
"第一種断界接触……" -> "Type I Cutting Contact ..."
"始末するわ……" -> "I will deal with ... ...."
"【アンフィル】" -> "【Anfill】"
"絡みついてあげる……" -> "I will get entangled ..."
"【アンフィル】" -> "【Anfill】"
"この体は何……？" -> "What is this body ...?"
"私は、いったい……" -> "I, what on earth ...?"
"【アンフィル】" -> "【Anfill】"
"巻き付いて……絡め取りたいわ……" -> "I want to wrap around ... ... I want to tie in ... ..."
"【アンフィル】" -> "【Anfill】"
"精子を吸わせて……吸わせてよぉ……" -> "Let me suck sperm ... ... let me suck ..."
"【アンフィル】" -> "【Anfill】"
"養分をちょうだい……" -> "Give me nutrients ......"
"【アンフィル】" -> "【Anfill】"
"ここはどこ……？" -> "Where am I……?"
"この暗い場所に、私はずっと……" -> "In this dark place, I always ... ..."
"【アンフィル】" -> "【Anfill】"
"複数の意志が混ざっている気がするの……" -> "I feel that multiple wills are mixed ... ..."
"この身のワーム、一つ一つに……" -> "This worm, one by one ......"
"【アンフィル】" -> "【Anfill】"
"ここから消えてなくなりたいわ……" -> "I want to disappear from here ... ..."
"【アンフィル】" -> "【Anfill】"
"どれだけの時間を、ここで過ごしたかしら……" -> "I wonder how much time I spent here ...."
"質問" -> "A question"
"【アンフィル】" -> "【Anfill】"
"私は……何？" -> "What am i?"
"アポトーシス" -> "Apoptosis"
"寄生虫" -> "A parasite"
"人間" -> "A human"
"アポトーシス" -> "Apoptosis"
"【アンフィル】" -> "【Anfill】"
"そう、私はアポトーシス……" -> "Yes, I apoptosis ......"
"侵入者を排除しろと、声が聞こえる……" -> "I hear a voice to exclude intruders ......"
"寄生虫" -> "A parasite"
"【アンフィル】" -> "【Anfill】"
"私は寄生体なの……？" -> "I am a parasitic ... ....?"
"何に寄生しているの……？" -> "What is infesting ... ...?"
"人間" -> "A human"
"【アンフィル】" -> "【Anfill】"
"人間……？　この体で、私は人間なの……？" -> "A human With this body, I am a human ... ....?"
"そう信じたいけれど……" -> "I would like to believe so ...."
"【アンフィル】" -> "【Anfill】"
"この悪夢に終わりはあるの……？" -> "Is there a end to this nightmare ...?"
"ある" -> "is there"
"ない" -> "Absent"
"震えて眠れ" -> "Trembly to sleep"
"ある" -> "is there"
"【アンフィル】" -> "【Anfill】"
"そう思いたいわね……" -> "I want to think so ..."
"ない" -> "Absent"
"【アンフィル】" -> "【Anfill】"
"そうね……悪夢は永遠に続くわ……" -> "Well ... the nightmare will last forever ..."
"震えて眠れ" -> "Trembly to sleep"
"【アンフィル】" -> "【Anfill】"
"怖いわ……" -> "I'm scared……"
"【アンフィル】" -> "【Anfill】"
"私は、何をすればいいの……？" -> "What should I do ...?"
"侵入者の排除" -> "Elimination of intruders"
"タルタロスの案内" -> "Information on Tartarus"
"僕と繁殖" -> "Breed with me"
"侵入者の排除" -> "Elimination of intruders"
"【アンフィル】" -> "【Anfill】"
"なら、排除するわ……" -> "Then, I will eliminate it ... ..."
"タルタロスの案内" -> "Information on Tartarus"
"【アンフィル】" -> "【Anfill】"
"そう……どこが見たいの……？" -> "Yes ... Where do you want to see ...?"
"自由を奪ってから、見せてあげる……" -> "After depriving of freedom, I will show you ..."
"僕と繁殖" -> "Breed with me"
"【アンフィル】" -> "【Anfill】"
"ならば……繁殖しましょう……" -> "Then ... let's propagate ... ..."
