"会話：フェイクジェリー" -> "Conversation: Fake Jelly"
"情報" -> "information"
"質問" -> "A question"
"要求" -> "request"
"贈与" -> "Gift"
"情報" -> "information"
"【フェイクジェリー】" -> "【Fake Jelly】"
"くらげですよ～！" -> "It is jellyfish ~!"
"【フェイクジェリー】" -> "【Fake Jelly】"
"ぷるぷるですよ～♪" -> "Purupuru it is ~ ♪"
"【フェイクジェリー】" -> "【Fake Jelly】"
"私の触手、とってもプニプニですよ♪" -> "My tentacles are very Punipni ♪"
"【フェイクジェリー】" -> "【Fake Jelly】"
"オシャレするの、大好きなんです♪" -> "I am fashionable, I love ♪"
"【フェイクジェリー】" -> "【Fake Jelly】"
"直射日光は苦手……" -> "Direct sunlight is not good ..."
"【フェイクジェリー】" -> "【Fake Jelly】"
"衝撃に強いぷるぷるボディですよ！" -> "It is a shock-resistant Purupurupu body!"
"【フェイクジェリー】" -> "【Fake Jelly】"
"スライム族と間違えられる事があります……" -> "Sometimes you get mistaken for the Slime tribe ... ..."
"ぷにぷに感では、負けていませんけどね♪" -> "In the feeling of punipuni, I have not lost, but ♪"
"【フェイクジェリー】" -> "【Fake Jelly】"
"くらげは友達、怖くありませんよ！" -> "Jellyfriend is my friend, I'm not scared!"
"【フェイクジェリー】" -> "【Fake Jelly】"
"精液、搾っちゃいますよ～！" -> "I will squeeze semen ~!"
"【フェイクジェリー】" -> "【Fake Jelly】"
"たまには、海でぷかぷかしたいな～。" -> "Sometime, I want to shrug off at the sea."
"質問" -> "A question"
"【フェイクジェリー】" -> "【Fake Jelly】"
"私がなぜ、人間の格好をしているのか分かりますか？" -> "Do you know why I am wearing a human?"
"オシャレするため" -> "To stylish"
"人間に混ざって狩るため" -> "To mix with humans to hunt"
"キスフライを食べるため" -> "To eat kiss fly"
"オシャレするため" -> "To stylish"
"【フェイクジェリー】" -> "【Fake Jelly】"
"そうです♪" -> "That's right."
"オシャレするのって、楽しいですよね～♪" -> "It's fun to stylish ~ ♪"
"人間に混ざって狩るため" -> "To mix with humans to hunt"
"【フェイクジェリー】" -> "【Fake Jelly】"
"そんな怖い事、考えてませんよ～！" -> "I am not thinking such a scary thing ~!"
"ほ、本当ですよ……？" -> "It is true, is not it ...?"
"キスフライを食べるため" -> "To eat kiss fly"
"【フェイクジェリー】" -> "【Fake Jelly】"
"キスフライは、人間の格好しなくても食べられますけど……" -> "Kiss fly can be eaten without human dressing ...."
"【フェイクジェリー】" -> "【Fake Jelly】"
"陸にもクラゲがいるって、不思議ですか……？" -> "Is it strange that there are jellyfish in the land ...?"
"不思議" -> "Strange"
"そうでもない" -> "Not really"
"僕もクラゲだ" -> "I am also jellyfish"
"不思議" -> "Strange"
"【フェイクジェリー】" -> "【Fake Jelly】"
"えへへっ、不思議でしょう。" -> "Well, it is strange."
"結構、陸地でも活動できるんですよ～♪" -> "Fine enough, I can also work on the land - ♪"
"そうでもない" -> "Not really"
"【フェイクジェリー】" -> "【Fake Jelly】"
"意外と珍しくないんですかね……" -> "It is surprisingly unusual, is not it ...?"
"びっくりです。" -> "That's surprising."
"僕もクラゲだ" -> "I am also jellyfish"
"【フェイクジェリー】" -> "【Fake Jelly】"
"そうですか～？　本当ですか～？" -> "Is that so? Is it true?"
"【フェイクジェリー】" -> "【Fake Jelly】"
"こうして服を着ていると……" -> "If you are wearing clothes like this ..."
"人間と、区別がつかないんじゃありませんか？" -> "Is not it indistinguishable from humans?"
"つかない" -> "Not stick"
"つく" -> "To take"
"君は人間だ" -> "You are a human being."
