"会話：シーアネモネ" -> "Conversation: Sea Anemone"
"情報" -> "information"
"質問" -> "A question"
"要求" -> "request"
"贈与" -> "Gift"
"情報" -> "information"
"【シーアネモネ】" -> "【Sea Anemone】"
"挟んであげるわ……" -> "I'll pinch it ..."
"【シーアネモネ】" -> "【Sea Anemone】"
"たっぷりと精液を搾り取ってあげる……" -> "I will squeeze the semen plenty ..."
"【シーアネモネ】" -> "【Sea Anemone】"
"陸の動きは鈍いけど、海の中では素早いわよ……" -> "The movement of the land is dull, but it is quick in the ocean ......"
"【シーアネモネ】" -> "【Sea Anemone】"
"いちおうは陸地も歩けるわ。" -> "One can walk on the land as well."
"地面がドロドロになるけれどね……" -> "The ground becomes a muddy, though ..."
"【シーアネモネ】" -> "【Sea Anemone】"
"外海を航行する船を襲い、船員の精を吸うの……" -> "It attacks a ship sailing in the open sea, and smokes the seafarer's ... ..."
"食事の機会は少ない分、食い溜めが可能よ。" -> "There is little opportunity for meals, you can save it."
"【シーアネモネ】" -> "【Sea Anemone】"
"あなたの精、とっても美味しそうね……" -> "Your savory, it looks delicious ..."
"【シーアネモネ】" -> "【Sea Anemone】"
"外海の魔物の中では、私はかなり大人しい方よ。" -> "Among the demons in the open sea, I am pretty mature."
"マンタやイッカクなんて大物に比べればね……" -> "You can compare Manta and Ikaku with big tits ... ..."
"【シーアネモネ】" -> "【Sea Anemone】"
"同じ魔物からも不思議生物扱いをされるわ……" -> "Even the same monsters are treated like wondrous creatures ..."
"なんだか失礼よね。" -> "How rude."
"【シーアネモネ】" -> "【Sea Anemone】"
"深くに潜れば、私の体色は赤色に変化するの。" -> "If I dive deeper, my body color turns red."
"周囲に適した保護色に変化するなんて、タコみたいでしょう。" -> "It seems like an octopus to change to a suitable protective color for the surroundings."
"【シーアネモネ】" -> "【Sea Anemone】"
"この下半身だと、陸に上がった時に大変よ……" -> "With this lower body, it will be tough when you go up to the land ..."
"まあ、買い物するときくらいしか陸には行かないけどね。" -> "Well, I will go to land only when I shop."
"質問" -> "A question"
"【シーアネモネ】" -> "【Sea Anemone】"
"なんで、私がブルーの体をしているか分かる……？" -> "Why do you know that I'm in the blue body ...?"
"美しいから" -> "Because it is beautiful"
"海に溶け込むために" -> "To melt into the ocean"
"ネズミに耳をかじられて" -> "I gnawt my ears gnawed"
"美しいから" -> "Because it is beautiful"
"【シーアネモネ】" -> "【Sea Anemone】"
"まあ、美しいだなんて……" -> "Well, it's beautiful ... ..."
"本当は保護色だけど、そう言われると悪い気はしないわね。" -> "It is actually a protected color, but I do not feel bad if I say so."
"海に溶け込むために" -> "To melt into the ocean"
"【シーアネモネ】" -> "【Sea Anemone】"
"そう……これは保護色なのよ。" -> "Yes ... this is a protective color."
"ネズミに耳をかじられて" -> "I gnawt my ears gnawed"
"【シーアネモネ】" -> "【Sea Anemone】"
"かじられちゃいないわよ、失礼ね……！" -> "You do not get caught, rude ... ...!"
"【シーアネモネ】" -> "【Sea Anemone】"
"私は何の魔物だと思う……？" -> "I think what a demon ... ....?"
"イソギンチャク" -> "Sea anemone"
"ヒトデ" -> "Starfish"
"ウミウシ" -> "Nuushi"
"イソギンチャク" -> "Sea anemone"
"【シーアネモネ】" -> "【Sea Anemone】"
"そう……いちおうメインはイソギンチャクね。" -> "Yes ... the main one is sea anemone."
"ヒトデやら何やらの因子も混じっちゃってるけど。" -> "Some starfish and starfish are mixed though."
"ヒトデ" -> "Starfish"
"【シーアネモネ】" -> "【Sea Anemone】"
