"会話：ハナビラカマキリ娘" -> "Conversation: Hanabira mantis girls"
"情報" -> "information"
"質問" -> "A question"
"要求" -> "request"
"贈与" -> "Gift"
"情報" -> "information"
"【ハナビラカマキリ娘】" -> "【Hanabira mantis girl】"
"これでも、踊りが好きなのよ……" -> "Again, I like dancing ......"
"【ハナビラカマキリ娘】" -> "【Hanabira mantis girl】"
"人間の着物は華やかでいいわね。" -> "Human clothes are gorgeous and nice."
"私も愛用しているわ……" -> "I also patronize ... ..."
"【ハナビラカマキリ娘】" -> "【Hanabira mantis girl】"
"さあ、子孫を作りましょう……" -> "Let's make descendants ......"
"【ハナビラカマキリ娘】" -> "【Hanabira mantis girl】"
"華やかに舞いましょう……" -> "Let's dance gorgeously ......"
"【ハナビラカマキリ娘】" -> "【Hanabira mantis girl】"
"この辺、ゴーレムをよく見るわね……" -> "I will often see the golem around here ...."
"【ハナビラカマキリ娘】" -> "【Hanabira mantis girl】"
"華やかに舞いましょう……" -> "Let's dance gorgeously ......"
"【ハナビラカマキリ娘】" -> "【Hanabira mantis girl】"
"カマキリだけど、鎌の扱いは苦手よ……" -> "Mantis, but I'm not good at handling the sickles ......"
"【ハナビラカマキリ娘】" -> "【Hanabira mantis girl】"
"たまに、町に買い物に行くんだけれど……" -> "Sometimes I go shopping in town ...."
"グランゴルドは、いったいどうしてしまったの？" -> "What on earth have you done for the Grand Gordo?"
"【ハナビラカマキリ娘】" -> "【Hanabira mantis girl】"
"精を搾ってあげる……" -> "I will squeeze my heart ..."
"良質の精なら、交尾しましょう……" -> "If you are fine of good quality, let's mate ......"
"【ハナビラカマキリ娘】" -> "【Hanabira mantis girl】"
"オスを食べたりは……しないわよ。" -> "I do not eat males ...."
"質問" -> "A question"
"【ハナビラカマキリ娘】" -> "【Hanabira mantis girl】"
"踊りは好きよ……" -> "I like dancing ......"
"あなたは何が好きなの？" -> "What do you like?"
"修行" -> "Training"
"戦い" -> "Fight"
"踊り" -> "dance"
"修行" -> "Training"
"【ハナビラカマキリ娘】" -> "【Hanabira mantis girl】"
"踊りにも修行が必要よ。" -> "You need to practice dancing as well."
"気が合うかもしれないわね……" -> "You may get along well ..."
"戦い" -> "Fight"
"【ハナビラカマキリ娘】" -> "【Hanabira mantis girl】"
"粗野ね……" -> "Konno ne ..."
"踊り" -> "dance"
"【ハナビラカマキリ娘】" -> "【Hanabira mantis girl】"
"あなたも雅ね……" -> "You too are ... Ya ..."
"【ハナビラカマキリ娘】" -> "【Hanabira mantis girl】"
"着物はいいわよね……" -> "You can wear kimono ...."
"あなたはどんな服を着るのが好き？" -> "What kind of clothing do you like to wear?"
"鎧" -> "armor"
"浴衣" -> "yukata"
"あぶない水着" -> "Dangerous swimwear"
"鎧" -> "armor"
"【ハナビラカマキリ娘】" -> "【Hanabira mantis girl】"
"粗野ね……" -> "Konno ne ..."
"浴衣" -> "yukata"
"【ハナビラカマキリ娘】" -> "【Hanabira mantis girl】"
"なかなか、いいわね……" -> "It's quite nice ..."
"あぶない水着" -> "Dangerous swimwear"
"【ハナビラカマキリ娘】" -> "【Hanabira mantis girl】"
"変態……" -> "transformation……"
"【ハナビラカマキリ娘】" -> "【Hanabira mantis girl】"
"私と、ただのカマキリ娘との違いが分かる……？" -> "You can see the difference between me and just a mantis ... ...?"
"美しい" -> "it's beautiful"
"服を着ている" -> "I am wearing clothes"
"紫色" -> "purple"
"美しい" -> "it's beautiful"
"【ハナビラカマキリ娘】" -> "【Hanabira mantis girl】"
