"会話：アジ・ダハーカ" -> "Conversation: Asia Dahaha"
"情報" -> "information"
"質問" -> "A question"
"要求" -> "request"
"贈与" -> "Gift"
"情報" -> "information"
"【アジ・ダハーカ】" -> "【Aji · Dakhaka】"
"くくく……我に屈するがいい！" -> "Tie me ... ... Please give in to me!"
"【アジ・ダハーカ】" -> "【Aji · Dakhaka】"
"その精、搾り抜いてやろう！" -> "Let's praise it, pull it out!"
"【アジ・ダハーカ】" -> "【Aji · Dakhaka】"
"我は猛々しき竜！" -> "I am a fierce dragon!"
"さあ、破壊し尽くしてくれる！" -> "Well, it will destroy us!"
"【アジ・ダハーカ】" -> "【Aji · Dakhaka】"
"沙蛇様こそ我が主君！" -> "Mr. Sayavi is my lord!"
"黒のアリスには、復活の恩を返すのみよ。" -> "I will only return the grace of resurrection to Black Alice."
"【アジ・ダハーカ】" -> "【Aji · Dakhaka】"
"この世界樹も、破壊し尽くしてくれよう！" -> "This tree of the world will destroy us!"
"【アジ・ダハーカ】" -> "【Aji · Dakhaka】"
"コァトルもネコも孫悟空も情けない……" -> "Both Coattle, cat and Son Goku are miserable ... ..."
"我が、古代種の力を見せつけてくれよう！" -> "Please show us the power of our ancient species!"
"【アジ・ダハーカ】" -> "【Aji · Dakhaka】"
"この二匹の蛇は、我が僕。" -> "These two serpents are my servants."
"貪欲に男の精を吸い尽くすのだ！" -> "Greedy sucks man 's spirit!"
"【アジ・ダハーカ】" -> "【Aji · Dakhaka】"
"我が炎で、骨まで焼き尽くしてくれる！" -> "With my flame, burns to the bones!"
"……少々、もったいないかな？" -> "...... A bit, a waste?"
"【アジ・ダハーカ】" -> "【Aji · Dakhaka】"
"我が吹雪で、氷の彫像にしてくれる！" -> "My blizzard makes me a statue of ice!"
"……だが、後で搾るときに我も凍えるな。" -> "... But, do not freeze when I squeeze it later."
"【アジ・ダハーカ】" -> "【Aji · Dakhaka】"
"この世界、人間がずいぶん増えたものよ……" -> "This world, a lot of people have increased ... ..."
"さぞ壊し甲斐がありそうだな。" -> "It looks like it is going to be destroyed."
"質問" -> "A question"
"【アジ・ダハーカ】" -> "【Aji · Dakhaka】"
"お前は……全てを破壊し尽くしたいと思った時はないか？" -> "You have no time to think that you want to destroy everything ...?"
"ない" -> "Absent"
"カジノで負けた時" -> "When you lose at the casino"
"タンスの角で小指を打った時" -> "When you hit a little finger at the corner of the dance"
"ない" -> "Absent"
"【アジ・ダハーカ】" -> "【Aji · Dakhaka】"
"ふん、つまらぬ奴よ……" -> "Damn, boring guy ......"
"カジノで負けた時" -> "When you lose at the casino"
"【アジ・ダハーカ】" -> "【Aji · Dakhaka】"
"よかろう、ならば壊すがいい！" -> "Well, if you do, break it!"
"タンスの角で小指を打った時" -> "When you hit a little finger at the corner of the dance"
"【アジ・ダハーカ】" -> "【Aji · Dakhaka】"
"お前は、それしきで全てを破壊するのか……？" -> "Are you going to destroy everything the other day ...?"
"少しは忍耐を覚えるがいい。" -> "Learn a little patience."
"【アジ・ダハーカ】" -> "【Aji · Dakhaka】"
"我は炎と氷、両方のブレスを吐けるのだ。" -> "I can breathe both flames and ice."
"お前は、どちらが好みだ……？" -> "Which do you prefer?"
"炎" -> "flame"
"氷" -> "ice"
"両方" -> "Both"
"炎" -> "flame"
"【アジ・ダハーカ】" -> "【Aji · Dakhaka】"
"ならば、思う存分焦げるがいい！" -> "Then, you can burn as much as you want!"
"氷" -> "ice"
"【アジ・ダハーカ】" -> "【Aji · Dakhaka】"
